                      Estimate   Std. Error
ln_H_input        3.547893e-01 1.019500e-01
ln_H_input        2.532774e-01 9.810610e-02
beta1_t           6.907589e-01 8.279015e-01
beta1_t          -2.066989e-01 8.239278e-01
beta1_t          -1.202095e+00 8.312949e-01
beta1_t          -1.328429e+00 8.292102e-01
beta1_t          -1.613369e+00 8.431369e-01
beta1_t          -1.121476e+00 8.396939e-01
beta1_t          -1.144952e+00 8.457934e-01
beta1_t          -1.533919e+00 8.368188e-01
beta1_t          -2.115514e-01 8.347259e-01
beta1_t          -1.097108e+00 8.336025e-01
beta1_t           1.533564e-01 8.237887e-01
beta1_t          -3.187093e-01 8.059899e-01
beta1_t           2.192675e-01 8.348150e-01
beta1_t           1.099384e+00 8.465491e-01
beta1_t          -6.221462e-01 8.250729e-01
beta1_t           4.307941e-01 8.282951e-01
beta1_t          -8.373286e-01 8.337673e-01
beta1_t          -3.215960e-01 8.398700e-01
beta1_t          -1.742920e+00 8.455014e-01
beta1_t          -2.358940e+00 8.579507e-01
beta1_t          -1.807403e+00 8.499063e-01
beta1_t          -1.365179e+00 8.492026e-01
beta1_t          -2.101416e+00 8.630228e-01
beta1_t          -2.336689e+00 8.602920e-01
beta1_t          -2.389697e+00 8.622682e-01
beta1_t          -1.867085e+00 8.485604e-01
beta1_t          -1.996344e+00 8.520484e-01
beta1_t          -2.370187e+00 8.683042e-01
beta1_t          -1.445308e+00 8.414093e-01
beta1_t          -9.574637e-01 8.329722e-01
beta1_t          -9.628333e-01 8.328888e-01
beta1_t          -6.776484e-01 8.328971e-01
beta1_t          -1.885898e+00 8.535149e-01
beta1_t          -1.388366e-01 8.296245e-01
beta1_t          -7.560078e-02 8.358899e-01
beta1_t          -8.893918e-01 8.429865e-01
beta1_t           2.062669e-01 8.382456e-01
beta1_t           6.734875e-01 8.439528e-01
beta1_t           1.749280e-01 8.283122e-01
beta1_t          -5.110338e-01 8.295606e-01
beta1_t          -8.334316e-01 8.397115e-01
beta1_t          -7.768821e-01 8.285831e-01
beta1_t           6.448148e-01 8.317349e-01
beta1_t           4.764906e-01 8.311049e-01
beta1_t           6.003541e-01 8.276276e-01
beta1_t           3.084317e-01 8.246152e-01
beta1_t           2.499272e+00 8.827910e-01
beta1_t           2.610329e+00 8.825585e-01
logetaE1         -1.228856e+00 1.015073e-01
logetaO1         -1.843198e+00 1.033651e-01
logkappa1        -3.540765e+00 1.016405e-01
beta2_t           6.001885e+00 3.921881e-01
beta2_t           5.490121e+00 4.149084e-01
beta2_t           5.102983e+00 4.529709e-01
beta2_t           5.177127e+00 4.422224e-01
beta2_t           5.108247e+00 4.755604e-01
beta2_t           5.533988e+00 4.592660e-01
beta2_t           5.496124e+00 4.712742e-01
beta2_t           4.867255e+00 4.779278e-01
beta2_t           5.337227e+00 4.336344e-01
beta2_t           5.406330e+00 4.535217e-01
beta2_t           5.599743e+00 4.120074e-01
beta2_t           5.727753e+00 3.895184e-01
beta2_t           5.838199e+00 4.306650e-01
beta2_t           5.777316e+00 4.093191e-01
beta2_t           5.612407e+00 4.184862e-01
beta2_t           5.535523e+00 4.081304e-01
beta2_t           4.838107e+00 4.444624e-01
beta2_t           4.634016e+00 4.311126e-01
beta2_t           4.468425e+00 4.819267e-01
beta2_t           4.504625e+00 5.093136e-01
beta2_t           4.219592e+00 4.875963e-01
beta2_t           4.303387e+00 4.806368e-01
beta2_t           4.540571e+00 5.236292e-01
beta2_t           3.970173e+00 5.366480e-01
beta2_t           3.520119e+00 5.250695e-01
beta2_t           3.994806e+00 4.811961e-01
beta2_t           3.508568e+00 5.024705e-01
beta2_t           4.533507e+00 5.812845e-01
beta2_t           4.480565e+00 4.702019e-01
beta2_t           4.567114e+00 4.608185e-01
beta2_t           3.686386e+00 4.531119e-01
beta2_t           4.549301e+00 4.395033e-01
beta2_t           5.077960e+00 5.046498e-01
beta2_t           4.407637e+00 4.249360e-01
beta2_t           4.977571e+00 4.333568e-01
beta2_t           4.772029e+00 4.682976e-01
beta2_t           5.094555e+00 4.166152e-01
beta2_t           5.425849e+00 4.159321e-01
beta2_t           4.491233e+00 4.121035e-01
beta2_t           4.856198e+00 4.417664e-01
beta2_t           4.783886e+00 4.592761e-01
beta2_t           5.449125e+00 4.479874e-01
beta2_t           5.361819e+00 4.127267e-01
beta2_t           5.146964e+00 4.220084e-01
beta2_t           5.312880e+00 4.087644e-01
beta2_t           5.167258e+00 4.068342e-01
beta2_t           6.411586e+00 3.923981e-01
beta2_t           6.916970e+00 3.855786e-01
logetaE2         -1.364642e+00 4.261880e-02
logetaO2         -1.084356e+00 9.057051e-02
logkappa2        -3.051801e+00 7.904128e-02
logSigmaM        -3.617002e-02 2.775183e-02
Omegainput1_s    -3.870393e+00 4.889917e+00
Omegainput1_s     2.017094e+01 5.031086e+00
Omegainput1_s    -2.471315e+00 4.350612e+00
Omegainput1_s    -5.480985e+00 4.968049e+00
Omegainput1_s     1.031333e+00 4.614677e+00
Omegainput1_s     1.194665e+01 4.630274e+00
Omegainput1_s    -8.151127e+00 4.966501e+00
Omegainput1_s    -9.485075e+00 5.036740e+00
Omegainput1_s     4.258539e+00 4.785384e+00
Omegainput1_s     1.078949e+00 4.533235e+00
Omegainput1_s    -4.197564e+00 4.324218e+00
Omegainput1_s     1.441441e+00 4.539319e+00
Omegainput1_s     1.046086e+01 4.797414e+00
Omegainput1_s     1.542613e+00 5.011577e+00
Omegainput1_s    -1.118168e+00 4.683770e+00
Omegainput1_s     8.236028e+00 4.506956e+00
Omegainput1_s     2.077434e+01 5.741400e+00
Omegainput1_s    -3.350838e+00 4.911195e+00
Omegainput1_s    -1.210619e+00 4.777279e+00
Omegainput1_s    -3.939650e+00 5.104206e+00
Omegainput1_s    -4.191153e-01 4.550870e+00
Omegainput1_s     5.988424e+00 4.630010e+00
Omegainput1_s     5.193123e+00 4.804457e+00
Omegainput1_s     1.175206e+00 4.647739e+00
Omegainput1_s     2.647720e+00 4.736538e+00
Omegainput1_s     5.467397e+00 4.573349e+00
Omegainput1_s     2.350619e+00 4.738863e+00
Omegainput1_s     4.967986e+00 4.443749e+00
Omegainput1_s    -2.724203e+00 4.452008e+00
Omegainput1_s     2.276395e+01 5.662364e+00
Omegainput1_s     4.761624e+00 4.925662e+00
Omegainput1_s    -9.212338e+00 5.032023e+00
Omegainput1_s     1.170296e+01 4.846168e+00
Omegainput1_s    -6.065957e+00 4.398462e+00
Omegainput1_s    -1.278280e-01 4.155319e+00
Omegainput1_s     1.737404e+01 5.423276e+00
Omegainput1_s     1.170789e+01 4.924017e+00
Omegainput1_s     1.668949e+00 4.744427e+00
Omegainput1_s     5.608239e+00 4.642718e+00
Omegainput1_s    -5.735561e-01 4.569487e+00
Omegainput1_s     8.779277e+00 5.177558e+00
Omegainput1_s     5.264285e-02 4.508475e+00
Omegainput1_s    -3.367164e+00 5.369325e+00
Omegainput1_s     4.127632e+00 4.522977e+00
Omegainput1_s     2.328793e-01 4.857052e+00
Omegainput1_s     7.105293e+00 4.527909e+00
Omegainput1_s     4.645632e+00 4.881879e+00
Omegainput1_s     1.156822e+00 4.371727e+00
Omegainput1_s    -1.733180e+01 5.537104e+00
Omegainput1_s     7.281125e+00 4.852029e+00
Omegainput1_s    -2.414255e+00 4.543775e+00
Omegainput1_s    -1.828091e+00 4.686827e+00
Omegainput1_s    -1.368753e+01 5.236199e+00
Omegainput1_s     1.851605e+01 5.221464e+00
Omegainput1_s    -2.209335e+00 4.829454e+00
Omegainput1_s    -2.093391e+00 5.014041e+00
Omegainput1_s     1.459461e+01 4.648792e+00
Omegainput1_s     2.126630e+01 4.938633e+00
Omegainput1_s    -1.551497e+00 4.445743e+00
Omegainput1_s     2.864534e+00 4.571757e+00
Omegainput1_s     3.256152e+00 4.489612e+00
Omegainput1_s    -8.139830e-01 5.107767e+00
Omegainput1_s    -2.332518e+00 4.615020e+00
Omegainput1_s    -6.008166e+00 5.096663e+00
Omegainput1_s    -5.311099e+00 4.888046e+00
Omegainput1_s     6.134516e+00 4.749377e+00
Omegainput1_s     8.986984e+00 4.788475e+00
Omegainput1_s     1.193349e+01 5.098270e+00
Omegainput1_s     1.900462e+00 4.796757e+00
Omegainput1_s     6.420154e+00 4.312719e+00
Omegainput1_s     2.127827e+00 4.650744e+00
Omegainput1_s     5.165934e+00 4.501530e+00
Omegainput1_s     1.597928e+01 4.719132e+00
Omegainput1_s     2.294676e+01 6.042424e+00
Omegainput1_s     1.264706e+01 4.801124e+00
Omegainput1_s     4.733316e-01 4.609458e+00
Omegainput1_s    -3.114065e+00 4.887884e+00
Omegainput1_s     1.173072e+01 4.911480e+00
Omegainput1_s     2.289321e+00 4.616843e+00
Omegainput1_s     1.893827e-01 4.877379e+00
Omegainput1_s     1.575371e+01 4.901157e+00
Omegainput1_s     5.227056e+00 4.332469e+00
Omegainput1_s     3.135917e+00 4.823310e+00
Omegainput1_s     2.195838e+01 5.702692e+00
Omegainput1_s    -6.461256e+00 4.313383e+00
Omegainput1_s    -3.021119e+00 4.645426e+00
Omegainput1_s     1.114263e+01 4.988138e+00
Omegainput1_s     1.475063e+01 5.196442e+00
Omegainput1_s     9.655296e+00 4.976732e+00
Omegainput1_s    -3.013279e+00 4.027651e+00
Omegainput1_s     1.835175e+01 5.270558e+00
Omegainput1_s     4.522540e+00 4.870031e+00
Omegainput1_s     4.178752e-01 4.661158e+00
Omegainput1_s     1.109495e+01 4.766915e+00
Omegainput1_s     1.408013e+00 4.766539e+00
Omegainput1_s    -3.479607e+00 5.082440e+00
Omegainput1_s    -1.954513e+00 4.981163e+00
Omegainput1_s    -6.689657e+00 5.059734e+00
Omegainput1_s     7.323094e+00 4.639967e+00
Omegainput1_s    -3.731571e+00 4.166082e+00
Omegainput1_s    -2.746596e+00 5.198925e+00
Omegainput1_s     1.313119e+01 4.805137e+00
Omegainput1_s    -8.481264e-01 4.277002e+00
Omegainput1_s    -6.096757e+00 4.819463e+00
Omegainput1_s     2.002686e+00 4.958588e+00
Omegainput1_s    -1.217947e+01 4.887062e+00
Omegainput1_s     6.489267e+00 4.541619e+00
Omegainput1_s     1.999212e+01 5.649918e+00
Omegainput1_s     1.246747e+01 4.638629e+00
Omegainput1_s    -4.632782e-01 4.777760e+00
Omegainput1_s     4.355822e-01 4.649459e+00
Omegainput1_s     1.194607e+01 4.459425e+00
Omegainput1_s     1.545251e+01 5.175327e+00
Omegainput1_s     1.077930e+00 5.124448e+00
Omegainput1_s     4.430644e+00 4.319809e+00
Omegainput1_s    -8.420140e-01 4.385331e+00
Omegainput1_s     8.465612e+00 4.757371e+00
Omegainput1_s    -1.609768e+01 5.453437e+00
Omegainput1_s     4.893835e+00 4.595717e+00
Omegainput1_s     6.116324e+00 4.354095e+00
Omegainput1_s     6.551985e+00 4.593643e+00
Omegainput1_s     2.806333e+00 4.758919e+00
Omegainput1_s     7.293924e+00 4.931145e+00
Omegainput1_s     2.691465e+00 4.602576e+00
Omegainput1_s     2.539418e+00 4.725163e+00
Omegainput1_s    -4.315612e+00 4.738965e+00
Omegainput1_s     9.912358e+00 4.692457e+00
Omegainput1_s     2.392366e+01 5.991034e+00
Omegainput1_s     4.232295e+00 4.463222e+00
Omegainput1_s     4.600847e+00 4.710346e+00
Omegainput1_s     1.954893e+00 4.695642e+00
Omegainput1_s    -3.833688e+00 4.348363e+00
Omegainput1_s     2.452107e+01 5.837296e+00
Omegainput1_s    -4.228382e+00 4.785735e+00
Omegainput1_s     1.887126e+00 5.265555e+00
Omegainput1_s    -8.906609e-01 4.692087e+00
Omegainput1_s    -3.819713e+00 4.715487e+00
Omegainput1_s    -3.540606e+00 4.955599e+00
Omegainput1_s    -1.513530e+01 5.199201e+00
Omegainput1_s     2.669460e+00 4.622833e+00
Omegainput1_s     1.760717e+01 5.361193e+00
Omegainput1_s    -3.651976e+00 4.519753e+00
Omegainput1_s    -7.536801e+00 4.442028e+00
Omegainput1_s    -8.799569e+00 4.932637e+00
Omegainput1_s    -1.494742e+01 5.052837e+00
Omegainput1_s    -2.859366e+00 4.738481e+00
Omegainput1_s     1.087658e+01 4.991920e+00
Omegainput1_s     1.203990e+01 4.725288e+00
Omegainput1_s     2.208982e+01 5.838278e+00
Omegainput1_s     1.992067e+01 5.763380e+00
Omegainput1_s    -2.393668e+00 4.873605e+00
Omegainput1_s    -1.638038e+00 5.034720e+00
Omegainput1_s     1.088818e+01 4.584148e+00
Omegainput1_s     7.808282e+00 4.890147e+00
Omegainput1_s    -1.982731e+00 4.379686e+00
Omegainput1_s     1.041375e+00 4.768831e+00
Omegainput1_s     1.235316e+00 4.530819e+00
Omegainput1_s     7.080136e+00 4.567565e+00
Omegainput1_s     2.299480e+00 4.528231e+00
Omegainput1_s     7.440945e+00 4.895386e+00
Omegainput1_s    -9.591124e+00 4.850118e+00
Omegainput1_s     8.108337e-01 5.152133e+00
Omegainput1_s     3.262609e+00 4.539985e+00
Omegainput1_s     3.447392e+00 4.366659e+00
Omegainput1_s    -3.492068e+00 5.059627e+00
Omegainput1_s     4.444882e+00 4.543711e+00
Omegainput1_s     2.154492e+01 5.469463e+00
Omegainput1_s     2.322230e+00 4.505396e+00
Omegainput1_s     1.024244e+01 4.652971e+00
Omegainput1_s     1.240817e+01 4.958089e+00
Omegainput1_s    -3.359221e+00 4.720779e+00
Omegainput1_s     1.817990e+01 5.439636e+00
Omegainput1_s    -1.312367e+00 4.839701e+00
Omegainput1_s     4.009063e+00 4.478377e+00
Omegainput1_s     2.361653e+00 4.489526e+00
Omegainput1_s    -4.404400e+00 4.910923e+00
Omegainput1_s     1.451087e+01 5.232109e+00
Omegainput1_s     4.202779e+00 4.736260e+00
Omegainput1_s     2.531802e+01 5.999158e+00
Omegainput1_s    -4.618674e+00 4.714250e+00
Omegainput1_s     4.203765e+00 4.646955e+00
Omegainput1_s    -1.421238e+00 4.709444e+00
Omegainput1_s    -1.639845e+01 5.247997e+00
Omegainput1_s     4.668013e+00 4.703991e+00
Omegainput1_s     1.072504e+01 5.004913e+00
Omegainput1_s    -3.486140e+00 4.847543e+00
Omegainput1_s     5.092635e+00 4.222427e+00
Omegainput1_s     1.454727e+01 4.911854e+00
Omegainput1_s     5.224266e+00 4.598349e+00
Omegainput1_s     2.009603e+00 4.771415e+00
Omegainput1_s     3.109584e+00 4.646432e+00
Omegainput1_s     1.587801e+00 4.537311e+00
Omegainput1_s     4.249867e+00 4.737482e+00
Omegainput1_s     1.975867e+01 5.146262e+00
Omegainput1_s    -1.573580e+00 4.719779e+00
Omegainput1_s    -3.797730e+00 4.908485e+00
Omegainput1_s     1.023038e+01 4.505048e+00
Omegainput1_s    -1.065956e+01 5.136001e+00
