sdreport(.) result
              Estimate  Std. Error
ln_H_input  0.04421097 0.081327543
ln_H_input  0.33623061 0.087944530
beta1_t     0.44012310 0.339416105
beta1_t     0.72394873 0.342463411
beta1_t     1.31185089 0.346806639
beta1_t     1.69837579 0.349887850
beta1_t     1.75388947 0.347445739
beta1_t     1.19999722 0.343141711
beta1_t     0.68564680 0.367675581
beta1_t     0.66591978 0.341189500
beta1_t     0.62742068 0.339520715
beta1_t     0.93547336 0.341230362
beta1_t     0.94771634 0.341304373
beta1_t     1.16856454 0.347472470
beta1_t     1.54116524 0.355130003
logetaE1   -1.04537908 0.076732272
logetaO1   -1.86455638 0.097085708
logkappa1  -4.07200616 0.106476809
beta2_t     6.48443448 0.234183915
beta2_t     6.70793934 0.240323211
beta2_t     6.87006361 0.234094050
beta2_t     6.68078482 0.222667038
beta2_t     6.85485111 0.218510100
beta2_t     6.12403592 0.228326679
beta2_t     5.73888542 0.278946898
beta2_t     6.42944681 0.230829199
beta2_t     6.48214892 0.228667932
beta2_t     6.32402535 0.223182870
beta2_t     6.96771720 0.230531534
beta2_t     7.24709058 0.231165411
beta2_t     7.43125147 0.236726922
logetaE2   -1.66731575 0.035624397
logetaO2   -1.57678815 0.071129480
logkappa2  -3.47970169 0.073989422
logSigmaM   0.41060408 0.008189464
Maximum gradient component: 0.07400472 
