                      Estimate   Std. Error
ln_H_input        4.128075e-01 9.525225e-02
ln_H_input        2.894769e-01 1.024048e-01
beta1_t           2.961000e+00 1.239914e+00
beta1_t           2.872610e+00 1.206668e+00
beta1_t           3.270046e+00 1.233453e+00
beta1_t           1.390059e+00 1.177673e+00
beta1_t           1.891393e+00 1.158914e+00
beta1_t          -5.079348e-01 1.144959e+00
beta1_t          -1.316661e+00 1.151346e+00
beta1_t          -5.409425e-01 1.135960e+00
beta1_t          -1.259972e+00 1.145369e+00
beta1_t           1.501522e-01 1.144876e+00
beta1_t          -1.396282e+00 1.150893e+00
beta1_t          -1.982951e+00 1.169157e+00
beta1_t           4.264407e-01 1.159463e+00
beta1_t          -5.563045e-01 1.151559e+00
beta1_t          -3.323007e-01 1.128271e+00
beta1_t           8.558265e-01 1.114230e+00
beta1_t           5.628773e-02 1.106414e+00
beta1_t           1.479323e-01 1.154468e+00
beta1_t          -1.666237e-01 1.148529e+00
beta1_t          -1.267013e+00 1.139861e+00
beta1_t          -7.624864e-01 1.140680e+00
beta1_t          -1.994781e+00 1.165857e+00
beta1_t           1.411699e-01 1.143358e+00
beta1_t          -2.243885e+00 1.168298e+00
beta1_t          -2.167238e+00 1.160576e+00
beta1_t          -1.749303e+00 1.154376e+00
beta1_t          -7.684288e-01 1.144829e+00
beta1_t          -1.754571e+00 1.152916e+00
beta1_t          -1.853972e+00 1.161345e+00
beta1_t          -1.229707e+00 1.152411e+00
beta1_t          -1.723461e+00 1.149437e+00
beta1_t          -3.000475e+00 1.192591e+00
beta1_t          -2.854704e+00 1.187038e+00
beta1_t          -1.367519e+00 1.155388e+00
beta1_t          -1.373386e+00 1.140079e+00
beta1_t          -1.643995e-01 1.162808e+00
beta1_t          -2.471733e+00 1.167861e+00
beta1_t          -1.484025e+00 1.154035e+00
beta1_t          -4.144458e-01 1.133535e+00
beta1_t          -9.526784e-01 1.148063e+00
beta1_t           8.587301e-01 1.142681e+00
beta1_t           8.753585e-01 1.139401e+00
beta1_t           1.040184e+00 1.146910e+00
beta1_t          -3.751839e-01 1.139155e+00
beta1_t          -5.417142e-01 1.146055e+00
beta1_t          -1.241897e+00 1.138997e+00
beta1_t           5.324115e-01 1.145495e+00
beta1_t           1.589029e+00 1.152697e+00
beta1_t           2.488938e+00 1.172133e+00
beta1_t           1.373021e-01 1.133354e+00
beta1_t           2.604061e+00 1.168937e+00
beta1_t           3.401697e+00 1.205017e+00
logetaE1         -1.444276e+00 8.661190e-02
logetaO1         -1.967449e+00 1.067677e-01
logkappa1        -3.746541e+00 9.492730e-02
beta2_t           7.146582e+00 4.373452e-01
beta2_t           7.435371e+00 4.302636e-01
beta2_t           7.177491e+00 4.328556e-01
beta2_t           6.234486e+00 4.645586e-01
beta2_t           6.033555e+00 4.394838e-01
beta2_t           6.156504e+00 4.879594e-01
beta2_t           5.204028e+00 5.332896e-01
beta2_t           5.765052e+00 4.765551e-01
beta2_t           5.075327e+00 5.122917e-01
beta2_t           5.060130e+00 4.698767e-01
beta2_t           5.640325e+00 5.269984e-01
beta2_t           4.655943e+00 5.709298e-01
beta2_t           4.931114e+00 4.761686e-01
beta2_t           5.645141e+00 4.974006e-01
beta2_t           5.565427e+00 4.634031e-01
beta2_t           5.109052e+00 4.181258e-01
beta2_t           5.069349e+00 4.296861e-01
beta2_t           5.663735e+00 4.803187e-01
beta2_t           5.828319e+00 4.870182e-01
beta2_t           5.243651e+00 5.003791e-01
beta2_t           4.934067e+00 4.973124e-01
beta2_t           4.730645e+00 5.716286e-01
beta2_t           4.294681e+00 4.727011e-01
beta2_t           4.445561e+00 5.622612e-01
beta2_t           4.151157e+00 5.483640e-01
beta2_t           5.010786e+00 5.584096e-01
beta2_t           4.002347e+00 5.028705e-01
beta2_t           3.368537e+00 5.538838e-01
beta2_t           3.067064e+00 5.493484e-01
beta2_t           3.871910e+00 5.297821e-01
beta2_t           3.663800e+00 5.475502e-01
beta2_t           4.364171e+00 6.360329e-01
beta2_t           4.871029e+00 6.444471e-01
beta2_t           3.773175e+00 5.426471e-01
