                      Estimate   Std. Error
ln_H_input        3.298699e-01 8.406219e-02
ln_H_input        1.818656e-01 8.473502e-02
beta1_t           8.628596e-01 3.976795e-01
beta1_t           1.093598e+00 4.029573e-01
beta1_t           7.983070e-01 4.028926e-01
beta1_t           8.565540e-01 4.021472e-01
beta1_t           5.393360e-01 3.994494e-01
beta1_t          -1.386090e-02 3.985344e-01
beta1_t          -7.663207e-01 4.219522e-01
beta1_t          -2.006387e-01 3.983704e-01
beta1_t          -2.235168e-01 3.987167e-01
beta1_t          -8.308964e-02 3.989303e-01
beta1_t           3.240386e-01 3.999917e-01
beta1_t           3.840622e-01 4.035256e-01
beta1_t           3.547991e-01 4.054449e-01
logetaE1         -9.700254e-01 8.817647e-02
logetaO1         -2.081235e+00 8.612843e-02
logkappa1        -4.061159e+00 1.034825e-01
beta2_t           7.245871e+00 1.166069e-01
beta2_t           7.000840e+00 1.213881e-01
beta2_t           7.092957e+00 1.256055e-01
beta2_t           6.979416e+00 1.212723e-01
beta2_t           7.091118e+00 1.218448e-01
beta2_t           6.790010e+00 1.252028e-01
beta2_t           6.638351e+00 1.596113e-01
beta2_t           6.644476e+00 1.272088e-01
beta2_t           6.775594e+00 1.259041e-01
beta2_t           6.636577e+00 1.289037e-01
beta2_t           7.074753e+00 1.277882e-01
beta2_t           7.010044e+00 1.305373e-01
beta2_t           6.968346e+00 1.390945e-01
logetaE2         -1.145781e+00 3.516501e-02
logetaO2         -9.693508e-01 6.579449e-02
logkappa2        -3.144667e+00 8.700068e-02
logSigmaM         1.246642e-01 9.352368e-03
Omegainput1_s     4.949804e+00 3.872501e+00
Omegainput1_s     3.996963e+00 3.588534e+00
Omegainput1_s    -2.513862e+00 3.496978e+00
Omegainput1_s     1.291996e+01 4.602063e+00
Omegainput1_s    -1.774237e+01 4.448098e+00
Omegainput1_s     2.898869e+00 4.497356e+00
Omegainput1_s     2.528122e+01 6.106337e+00
Omegainput1_s    -2.132574e+01 4.925207e+00
Omegainput1_s    -1.192116e+01 3.638771e+00
Omegainput1_s     1.576944e+01 5.308658e+00
Omegainput1_s     4.310974e+00 4.549158e+00
Omegainput1_s    -7.651055e+00 3.835900e+00
Omegainput1_s     4.133485e+00 4.409030e+00
Omegainput1_s     2.297952e+00 4.542686e+00
Omegainput1_s     9.728474e+00 4.215979e+00
Omegainput1_s     1.239972e+01 4.090789e+00
