                      Estimate   Std. Error
ln_H_input        3.084954e-01 1.227833e-01
ln_H_input        2.151928e-01 1.198851e-01
beta1_t           7.223282e-01 7.908179e-01
beta1_t          -1.414102e-01 7.845059e-01
beta1_t          -1.228974e+00 7.907635e-01
beta1_t          -1.316973e+00 7.896836e-01
beta1_t          -1.655972e+00 8.000666e-01
beta1_t          -1.119118e+00 7.982006e-01
beta1_t          -1.220165e+00 8.023994e-01
beta1_t          -1.584965e+00 7.964225e-01
beta1_t          -2.481286e-01 7.917266e-01
beta1_t          -1.034145e+00 7.936293e-01
beta1_t           1.683903e-01 7.837370e-01
beta1_t          -3.759612e-01 7.659561e-01
beta1_t           2.594645e-01 7.955025e-01
beta1_t           1.035375e+00 8.066510e-01
beta1_t          -6.110772e-01 7.868539e-01
beta1_t           3.985957e-01 7.889535e-01
beta1_t          -8.599901e-01 7.947627e-01
beta1_t          -3.385572e-01 8.003726e-01
beta1_t          -1.687063e+00 8.060226e-01
beta1_t          -2.268212e+00 8.168124e-01
beta1_t          -1.743916e+00 8.074018e-01
beta1_t          -1.321285e+00 8.092544e-01
beta1_t          -1.998633e+00 8.198243e-01
beta1_t          -2.258231e+00 8.184993e-01
beta1_t          -2.373703e+00 8.218117e-01
beta1_t          -1.919853e+00 8.079285e-01
beta1_t          -1.957385e+00 8.123082e-01
beta1_t          -2.298958e+00 8.271508e-01
beta1_t          -1.336214e+00 8.014110e-01
beta1_t          -9.107450e-01 7.935395e-01
beta1_t          -9.573462e-01 7.925006e-01
beta1_t          -6.312669e-01 7.923988e-01
beta1_t          -1.772642e+00 8.112158e-01
beta1_t          -1.109799e-01 7.902083e-01
beta1_t          -1.601835e-02 7.952489e-01
beta1_t          -8.391546e-01 8.024089e-01
beta1_t           2.166487e-01 7.975027e-01
beta1_t           6.739062e-01 8.051302e-01
beta1_t           1.684585e-01 7.891641e-01
beta1_t          -4.868418e-01 7.898363e-01
beta1_t          -8.030536e-01 7.985485e-01
logetaE1         -1.147092e+00 1.158894e-01
logetaO1         -1.812988e+00 1.105445e-01
logkappa1        -3.527965e+00 1.135442e-01
beta2_t           6.954216e+00 3.186712e-01
beta2_t           6.536033e+00 3.371951e-01
beta2_t           6.274555e+00 3.798250e-01
beta2_t           6.254408e+00 3.730653e-01
beta2_t           6.293808e+00 3.965222e-01
beta2_t           6.671895e+00 3.790408e-01
beta2_t           6.571785e+00 3.922232e-01
beta2_t           5.976202e+00 4.043428e-01
beta2_t           6.421115e+00 3.578066e-01
beta2_t           6.503354e+00 3.795240e-01
beta2_t           6.673541e+00 3.333157e-01
beta2_t           6.800982e+00 3.101702e-01
beta2_t           6.939688e+00 3.572959e-01
beta2_t           7.158544e+00 3.339978e-01
beta2_t           6.800705e+00 3.458303e-01
beta2_t           6.619720e+00 3.308209e-01
beta2_t           5.886541e+00 3.691015e-01
beta2_t           6.114535e+00 3.533819e-01
beta2_t           6.025098e+00 4.093512e-01
beta2_t           6.062611e+00 4.377652e-01
beta2_t           5.718429e+00 4.149541e-01
beta2_t           6.167120e+00 3.989491e-01
beta2_t           6.390527e+00 4.448807e-01
beta2_t           5.853551e+00 4.682474e-01
beta2_t           5.006907e+00 4.581273e-01
beta2_t           5.492533e+00 4.176732e-01
beta2_t           5.228185e+00 4.425784e-01
beta2_t           5.978206e+00 5.104342e-01
beta2_t           5.995361e+00 4.075089e-01
beta2_t           6.054832e+00 3.894396e-01
beta2_t           5.209019e+00 3.847087e-01
beta2_t           5.983226e+00 3.676233e-01
beta2_t           6.581300e+00 4.389657e-01
beta2_t           5.966449e+00 3.541552e-01
beta2_t           6.527672e+00 3.585686e-01
beta2_t           6.482064e+00 3.939874e-01
beta2_t           6.691086e+00 3.464757e-01
beta2_t           6.911591e+00 3.410002e-01
beta2_t           6.094492e+00 3.432299e-01
beta2_t           6.520333e+00 3.705353e-01
beta2_t           6.458930e+00 3.833491e-01
logetaE2         -1.304565e+00 4.888940e-02
logetaO2         -9.682864e-01 9.191153e-02
logkappa2        -2.792326e+00 1.001743e-01
logSigmaM        -5.364434e-02 3.322688e-02
Omegainput1_s     1.074406e+01 5.000005e+00
Omegainput1_s    -9.363156e+00 5.478224e+00
Omegainput1_s     1.311378e+01 4.694613e+00
Omegainput1_s    -1.528773e+00 4.687797e+00
Omegainput1_s    -4.318546e+00 4.691625e+00
Omegainput1_s     9.971361e+00 4.737446e+00
Omegainput1_s     1.463677e+00 4.794517e+00
Omegainput1_s    -4.690403e+00 5.278240e+00
Omegainput1_s     3.653237e-01 4.891043e+00
Omegainput1_s    -9.334532e-01 4.674264e+00
Omegainput1_s    -3.280697e+00 4.274404e+00
Omegainput1_s     3.965203e+00 4.543747e+00
Omegainput1_s     4.776885e+00 4.566592e+00
Omegainput1_s     2.019730e+01 5.288794e+00
Omegainput1_s     2.677589e-01 4.740701e+00
Omegainput1_s     1.245870e+00 4.581691e+00
Omegainput1_s     9.062449e+00 4.711576e+00
Omegainput1_s     4.571076e+00 4.467314e+00
Omegainput1_s    -1.330883e+00 4.891150e+00
Omegainput1_s    -8.345255e+00 5.061963e+00
Omegainput1_s     5.199905e-01 5.519645e+00
Omegainput1_s     7.772446e+00 4.728730e+00
Omegainput1_s     2.688829e+00 4.572491e+00
Omegainput1_s    -6.233746e+00 4.892502e+00
Omegainput1_s     6.734756e+00 4.564979e+00
Omegainput1_s     5.945959e+00 4.459441e+00
Omegainput1_s     1.684839e+00 4.397380e+00
Omegainput1_s    -3.051050e+00 4.165548e+00
Omegainput1_s    -1.391426e+01 6.305648e+00
Omegainput1_s     1.752495e+00 4.668150e+00
Omegainput1_s     1.479047e+01 4.842267e+00
Omegainput1_s    -1.331285e+01 5.065601e+00
Omegainput1_s     9.351269e-01 4.509984e+00
Omegainput1_s    -1.669528e+00 4.422097e+00
Omegainput1_s     2.452886e-01 4.730756e+00
Omegainput1_s    -1.076668e+01 5.140660e+00
Omegainput1_s     1.702624e+01 5.339956e+00
Omegainput1_s    -4.158713e+00 4.893412e+00
Omegainput1_s    -2.926747e-01 5.137194e+00
Omegainput1_s     6.194624e+00 4.433667e+00
Omegainput1_s    -2.297664e+00 4.091433e+00
Omegainput1_s     1.235115e+01 4.713744e+00
Omegainput1_s     1.658178e+00 4.486403e+00
