"Year","Unit","Fleet","Estimate..metric.tonnes.","SD"
2003,1,"Coastwide",2784.26288593528,0.271553916698693
2004,1,"Coastwide",5502.59823208257,0.354217089957769
2005,1,"Coastwide",3786.44449095432,0.307203495662446
2006,1,"Coastwide",12718.7236732437,0.401922974333997
2007,1,"Coastwide",3714.82307652769,0.330498392744181
2008,1,"Coastwide",6101.4316449031,0.386172642921172
2009,1,"Coastwide",2116.97541569574,0.390357857006511
2010,1,"Coastwide",5487.32734173237,0.35670668241751
2011,1,"Coastwide",5572.25276451344,0.381708699402551
2012,1,"Coastwide",6050.98384149788,0.341852037947183
2013,1,"Coastwide",3433.8867518185,0.381986645265265
2014,1,"Coastwide",9847.45583778856,0.250481106354407
2003,1,"CA",441.854004498598,0.361323815484069
2004,1,"CA",881.167998982961,0.413422943236076
2005,1,"CA",1120.88990191173,0.375138743023378
2006,1,"CA",1180.64113595288,0.386117576206257
2007,1,"CA",751.893014606841,0.372764093216803
2008,1,"CA",729.131672810407,0.433109291504841
2009,1,"CA",388.369944978714,0.424777999128894
2010,1,"CA",645.859357440189,0.378140275352971
2011,1,"CA",586.830709182083,0.450124379452883
2012,1,"CA",577.495281016267,0.397649934465104
2013,1,"CA",587.620050201101,0.403589584052412
2014,1,"CA",1467.6775413674,0.353036681866339
2003,1,"OR",695.403945255942,0.34082359439168
2004,1,"OR",1127.56457126522,0.430671105284092
2005,1,"OR",741.544283191522,0.344150444546064
2006,1,"OR",1029.17619833949,0.441968201923148
2007,1,"OR",574.276489291227,0.343896737883906
2008,1,"OR",1528.8107550965,0.413869253198896
2009,1,"OR",462.31033688467,0.445188566287594
2010,1,"OR",844.929222302301,0.362765979146739
2011,1,"OR",810.324576297484,0.354419469559359
2012,1,"OR",985.470860360531,0.334180550130906
2013,1,"OR",770.458279766445,0.389091340307503
2014,1,"OR",2921.30190437983,0.304514571251128
2003,1,"WA",1647.00493618074,0.316800990256576
2004,1,"WA",3493.86566183438,0.415447569760597
2005,1,"WA",1924.01030585108,0.417631072046184
2006,1,"WA",10508.9063389513,0.45344105038364
2007,1,"WA",2388.65357262963,0.417829453234332
2008,1,"WA",3843.4892169962,0.496251804803541
2009,1,"WA",1266.29513383236,0.466176544607565
2010,1,"WA",3996.53876198988,0.431558219328755
2011,1,"WA",4175.09747903387,0.456128302055242
2012,1,"WA",4488.01770012108,0.404293268978978
2013,1,"WA",2075.80842185095,0.487690496918751
2014,1,"WA",5458.47639204132,0.316981537864419
