"Year","Unit","Fleet","Estimate..metric.tonnes.","SD..log.","SD..natural."
1982,1,"All_areas",2849729.58892482,0.0897526153531428,214645.185890714
1983,1,"All_areas",6953252.64836979,0.0874246005382592,502139.574625025
1984,1,"All_areas",4852980.96989172,0.0958329732524468,386951.795627674
1985,1,"All_areas",6030266.15264582,0.110876643567218,543677.997518009
1986,1,"All_areas",5178911.1539103,0.0906545242778346,391955.603280197
1987,1,"All_areas",5836645.82868284,0.0932443726062577,452084.406789335
1988,1,"All_areas",7728181.70296615,0.09803168451908,636636.822388736
1989,1,"All_areas",6864822.59123844,0.089348427537078,515126.150112726
1990,1,"All_areas",7581621.65094277,0.109525462250329,696830.586338623
1991,1,"All_areas",5424101.55564071,0.0917556011700209,415741.203203165
1992,1,"All_areas",5047977.54430427,0.0930332066340028,391080.331226937
1993,1,"All_areas",5961334.40338075,0.08535387055177,427967.278031654
1994,1,"All_areas",5562661.12178968,0.0900412021062596,419792.940235701
1995,1,"All_areas",4825522.21732731,0.101958613607186,418009.166179478
1996,1,"All_areas",3147096.43081125,0.0793815668998512,212186.159561847
1997,1,"All_areas",3599226.93671278,0.0851483622691641,258928.159189011
1998,1,"All_areas",2767909.00568362,0.0868196135596397,202789.136976942
1999,1,"All_areas",3881977.44150995,0.0969940450865955,317584.5389548
2000,1,"All_areas",5367342.30356188,0.0859377208787876,387781.87745119
2001,1,"All_areas",4584438.97589768,0.0848443998310609,327251.965166236
2002,1,"All_areas",4987580.93651623,0.0763064125960988,323609.249133914
2003,1,"All_areas",8080969.73958371,0.0887866182093621,607387.274353448
2004,1,"All_areas",4238375.29971699,0.0796878467653585,286556.562419355
2005,1,"All_areas",5078672.77265002,0.0861358804397181,367857.578874051
2006,1,"All_areas",3183646.62366799,0.087984107029029,237788.789228893
2007,1,"All_areas",4529255.51194457,0.106298486359363,405095.591608883
2008,1,"All_areas",3111615.01543292,0.102322854625851,266614.7103693
2009,1,"All_areas",2227050.09801081,0.116914356696041,217877.2161313
2010,1,"All_areas",3904560.09124739,0.103546624433425,337900.075137158
2011,1,"All_areas",3470966.16659498,0.0907499466008952,264958.581871792
2012,1,"All_areas",3692931.84522037,0.0822195939605657,256947.922342569
2013,1,"All_areas",4972264.89318198,0.0903171067403633,377979.508654804
2014,1,"All_areas",8654529.67406667,0.0782919907775209,571190.479196907
