sdreport(.) result
             Estimate  Std. Error
ln_H_input  0.2315478 0.071873585
ln_H_input -0.9656545 0.107478456
beta1_t     4.1202664 0.660523059
beta1_t     4.2286700 0.659707105
beta1_t     4.3226352 0.660352665
beta1_t     5.0927931 0.717227278
beta1_t     5.4278896 0.751168666
beta1_t     4.1048474 0.650004581
beta1_t     5.0562312 0.704327162
beta1_t     4.1678898 0.647873035
beta1_t     4.3332754 0.655649218
beta1_t     5.9888550 0.810373414
beta1_t     4.5237861 0.670599905
beta1_t     5.2650902 0.722277212
beta1_t     5.6465807 0.765098525
beta1_t     4.8858874 0.688470341
beta1_t     5.0733748 0.705445007
beta1_t     4.7530743 0.679170059
beta1_t     4.9960890 0.702650248
beta1_t     6.2182365 0.857512480
beta1_t     5.1244332 0.717060807
beta1_t     5.7063025 0.775613997
beta1_t     4.8089851 0.684128995
beta1_t     4.5343562 0.668205587
beta1_t     5.4539069 0.743277220
beta1_t     4.7464212 0.680777933
beta1_t     4.5720428 0.670140746
beta1_t     4.1978340 0.647616057
beta1_t     2.8767736 0.601765367
beta1_t     3.4260220 0.616345295
beta1_t     2.9862694 0.606556591
beta1_t     4.6595916 0.674217920
beta1_t     4.6565705 0.671595072
beta1_t     5.1894124 0.714086375
beta1_t     6.2311571 0.854436975
logetaE1   -1.2405246 0.125383225
logetaO1   -1.9314441 0.120066260
logkappa1  -4.1203289 0.153526169
beta2_t     7.5168752 0.590087091
beta2_t     8.7398745 0.587779135
beta2_t     7.8438063 0.588230227
beta2_t     8.5347548 0.585233130
beta2_t     8.0971160 0.586855283
beta2_t     8.4588230 0.587590346
beta2_t     8.2870021 0.584699909
beta2_t     8.2427309 0.585044008
beta2_t     8.0457858 0.585524426
beta2_t     8.1702634 0.584251317
beta2_t     8.0631045 0.586133723
beta2_t     8.2125715 0.585304535
beta2_t     8.0083045 0.585610391
beta2_t     7.5165017 0.585917712
beta2_t     7.7301614 0.585982767
beta2_t     7.8868364 0.584944759
beta2_t     7.6627128 0.585615426
beta2_t     7.4051356 0.585655118
beta2_t     8.1977449 0.585579982
beta2_t     8.1660565 0.585473045
beta2_t     7.8474110 0.587761763
beta2_t     8.5423035 0.585903656
beta2_t     7.9829745 0.586340386
beta2_t     7.8326994 0.587329549
beta2_t     7.1298981 0.587681540
beta2_t     6.9965609 0.587274199
beta2_t     6.5445531 0.590232352
beta2_t     6.0563094 0.587143017
beta2_t     7.2909161 0.589097986
beta2_t     7.5459897 0.585270867
beta2_t     7.2475977 0.587963330
beta2_t     7.5131878 0.585549343
beta2_t     8.5654807 0.584888056
logetaE2   -1.3819203 0.031864495
logetaO2   -1.3665774 0.083100283
logkappa2  -4.5349790 0.058879172
logSigmaM   0.1681578 0.006262532
Maximum gradient component: 0.03090961 
