"Year","Unit","Fleet","Estimate..metric.tonnes.","SD"
2003,1,"Coastwide",2783.75216795751,0.271522504628097
2004,1,"Coastwide",5503.90064529493,0.354200177219211
2005,1,"Coastwide",3786.58559839119,0.307186107920823
2006,1,"Coastwide",12718.7881806532,0.401890825832435
2007,1,"Coastwide",3715.44356103517,0.330479095567031
2008,1,"Coastwide",6101.20239428266,0.386158495920299
2009,1,"Coastwide",2117.29320967608,0.390355241497196
2010,1,"Coastwide",5488.03253785564,0.356685991544596
2011,1,"Coastwide",5572.90990130873,0.381692352731916
2012,1,"Coastwide",6049.37127685447,0.34181103627355
2013,1,"Coastwide",3433.55974576169,0.381963413718971
2014,1,"Coastwide",9847.81554023839,0.250462187550357
2003,1,"CA",441.753431962447,0.361290656557623
2004,1,"CA",881.411921659526,0.413403716128259
2005,1,"CA",1120.88341564165,0.375113377706036
2006,1,"CA",1180.76271487418,0.386091724806787
2007,1,"CA",752.010376057624,0.372736629067554
2008,1,"CA",729.139006650586,0.433093853558313
2009,1,"CA",388.417070073676,0.424768777878644
2010,1,"CA",645.972612279471,0.378119434979265
2011,1,"CA",586.978501422776,0.450102895151964
2012,1,"CA",577.330327446883,0.397622114426943
2013,1,"CA",587.548027621672,0.403556869655125
2014,1,"CA",1467.71476570627,0.353019448873997
2003,1,"OR",695.259450263922,0.340787620530508
2004,1,"OR",1127.81072538836,0.430645569559165
2005,1,"OR",741.580263961131,0.34412765659919
2006,1,"OR",1029.32758139933,0.441942068459182
2007,1,"OR",574.385250826065,0.343877680233575
2008,1,"OR",1528.7525005664,0.413851020434413
2009,1,"OR",462.371988021761,0.445166110983499
2010,1,"OR",845.039105945878,0.362738378915951
2011,1,"OR",810.452679876044,0.354402471695687
2012,1,"OR",985.202005855886,0.334150453424821
2013,1,"OR",770.353019111931,0.3890564872524
2014,1,"OR",2921.30376254918,0.304493789425713
2003,1,"WA",1646.73928573114,0.316776140445679
2004,1,"WA",3494.67799824704,0.415429349291294
2005,1,"WA",1924.12191878842,0.417618410220296
2006,1,"WA",10508.6978843797,0.453414443178197
2007,1,"WA",2389.04793415149,0.417814977794437
2008,1,"WA",3843.31088706567,0.496243154029118
2009,1,"WA",1266.50415158064,0.466176859318455
2010,1,"WA",3997.02081963029,0.431540119470024
2011,1,"WA",4175.47872000991,0.456117811305449
2012,1,"WA",4486.8389435517,0.404249316645024
2013,1,"WA",2075.65869902809,0.487663808779287
2014,1,"WA",5458.79701198294,0.316968527940211
