                      Estimate   Std. Error
ln_H_input       -1.023044e+00 1.964197e-01
ln_H_input       -7.226407e-02 1.929857e-01
beta1_t          -4.025802e+00 6.440628e-01
beta1_t          -4.150297e+00 6.500199e-01
beta1_t          -4.057355e+00 6.407667e-01
beta1_t          -4.612085e+00 6.514116e-01
beta1_t          -4.254415e+00 6.418280e-01
beta1_t          -4.547349e+00 6.469348e-01
beta1_t          -4.617924e+00 6.501277e-01
beta1_t          -4.172433e+00 6.423850e-01
beta1_t          -4.336949e+00 6.447792e-01
beta1_t          -4.016359e+00 6.419820e-01
beta1_t          -4.072456e+00 6.485979e-01
beta1_t          -3.608907e+00 6.365734e-01
logetaE1          2.965084e-01 1.075533e+00
logetaO1         -2.452216e+00 1.616306e-01
logkappa1        -3.804957e+00 2.029432e-01
logsigmaVT1      -3.055118e+00 5.333468e+00
beta2_t           5.415288e+00 3.361856e-01
beta2_t           6.161771e+00 3.536940e-01
beta2_t           5.819465e+00 3.299092e-01
beta2_t           6.665016e+00 3.531342e-01
beta2_t           5.720030e+00 3.413446e-01
beta2_t           6.421874e+00 3.718136e-01
beta2_t           5.726759e+00 3.759528e-01
beta2_t           5.984907e+00 3.322589e-01
beta2_t           6.024116e+00 3.730688e-01
beta2_t           5.798055e+00 3.482626e-01
beta2_t           5.673411e+00 3.659960e-01
beta2_t           6.309687e+00 2.908687e-01
logetaE2         -1.341172e+00 1.166197e-01
logetaO2         -1.586931e+00 1.354828e-01
logkappa2        -2.457703e+00 2.339374e-01
logsigmaVT2      -1.561929e+00 6.679239e-01
logSigmaM         8.884252e-02 3.792032e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt           -2.727362e-03 5.472956e-02
nu1_vt            1.030885e-02 1.173540e-01
nu1_vt           -6.728476e-03 8.440763e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt           -9.830097e-04 4.787838e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt           -7.844651e-04 4.750566e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt            5.043684e-03 7.048772e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt           -4.140672e-03 6.368479e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt           -1.255585e-02 1.389812e-01
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt           -1.598838e-03 4.963410e-02
nu1_vt            9.089154e-03 1.057527e-01
nu1_vt            5.096079e-03 7.071321e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt            4.289897e-03 6.508523e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt           -6.913540e-04 4.741605e-02
nu1_vt            9.631548e-03 1.114725e-01
nu1_vt           -1.240152e-02 1.384832e-01
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt           -4.474443e-03 6.611866e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt            3.067000e-03 5.670761e-02
nu1_vt            1.199695e-02 1.336380e-01
nu1_vt           -1.028173e-02 1.170188e-01
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt            2.993504e-05 4.682753e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt           -4.559044e-04 4.705314e-02
nu1_vt            6.068328e-03 7.918506e-02
nu1_vt           -4.671523e-03 6.781856e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt            2.524657e-03 5.387163e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt           -4.678515e-03 6.786786e-02
nu1_vt            4.570573e-03 6.711040e-02
nu1_vt           -1.584857e-03 4.969715e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt           -1.467034e-02 1.600936e-01
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt            1.010718e-02 1.152047e-01
nu1_vt            9.664242e-03 1.112526e-01
nu1_vt           -4.728170e-03 6.789017e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt           -2.744549e-03 5.494178e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt            1.810698e-03 5.045336e-02
nu1_vt            1.041517e-03 4.803468e-02
nu1_vt            6.131097e-04 4.718463e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt           -1.002774e-02 1.139930e-01
nu1_vt            0.000000e+00 4.711718e-02
nu1_vt            1.634616e-03 4.994065e-02
