"Year","Unit","Fleet","Estimate..metric.tonnes.","SD..log.","SD..natural."
1985,1,"All_areas",11838.3481618523,0.0481291833194143,493.639511076428
1986,1,"All_areas",10182.4416615878,0.0472773353934298,416.757645856393
1987,1,"All_areas",10363.9933285522,0.0490487414272408,437.832582887663
1988,1,"All_areas",11015.5329680893,0.0479904875594553,454.738125805424
1989,1,"All_areas",10391.5783511,0.0504862272175006,452.045391018589
1990,1,"All_areas",8977.57414001487,0.0494055009617317,381.415638552236
1991,1,"All_areas",8108.82567322466,0.0456124480984725,319.922115489139
1992,1,"All_areas",5983.88128352484,0.0466474718293522,241.116202259378
1993,1,"All_areas",5492.97795660111,0.0457654328440569,217.646031823975
1994,1,"All_areas",5213.70532389925,0.0461167702025283,208.956530153799
1995,1,"All_areas",6577.25137175505,0.051754649158171,296.442488173471
1996,1,"All_areas",7656.86676543525,0.0577928255693102,379.978197763034
1997,1,"All_areas",8855.80647049331,0.05424283285934,411.270970167117
1998,1,"All_areas",9751.29699103526,0.0577759160089588,481.399983406114
1999,1,"All_areas",8284.8259019181,0.0531168576602863,374.980050736968
2000,1,"All_areas",7436.54295915099,0.0544984341269014,345.328360390947
2001,1,"All_areas",5662.60022449663,0.0600539212876742,289.47930339943
2002,1,"All_areas",7189.26255862291,0.0614728567236345,373.900277545572
2003,1,"All_areas",7430.54890849172,0.0525767951228422,333.344166292985
2004,1,"All_areas",9012.89543733733,0.0519989397385679,400.190294479583
2005,1,"All_areas",7850.82725551956,0.0484601182177524,327.633844177674
2006,1,"All_areas",8082.30237797388,0.0469319430564579,327.771379569073
2007,1,"All_areas",7286.88726984254,0.0484474474721032,303.780050951795
2008,1,"All_areas",7619.66974758647,0.0467758041084247,309.026105694242
2009,1,"All_areas",8210.1697782995,0.0493524978053827,351.16198580266
2010,1,"All_areas",9418.15523186067,0.0485634912357485,397.61019535181
2011,1,"All_areas",10114.4472973881,0.0464806923207133,409.495420239556
2012,1,"All_areas",12614.7457671929,0.0469836359010645,515.46186769586
2013,1,"All_areas",13785.4252628515,0.0501441048292646,599.505135004999
2014,1,"All_areas",11085.8432908659,0.0504334074571337,483.556212179669
2015,1,"All_areas",16458.6056334441,0.047671228318262,678.711593613597
