sdreport(.) result
             Estimate  Std. Error
ln_H_input  0.3093796 0.048843434
ln_H_input  0.2483850 0.051334711
beta2_t     1.3071937 0.249256538
beta2_t     1.0385521 0.243701749
beta2_t     0.9867108 0.244862982
beta2_t     1.1823444 0.245921366
beta2_t     0.9530223 0.245837531
beta2_t     0.8802429 0.244693915
beta2_t     0.8837785 0.244831639
beta2_t     0.7693223 0.243439170
beta2_t     0.5964607 0.243589304
beta2_t     0.5758322 0.242613843
beta2_t     0.6342741 0.244200990
beta2_t     0.9075492 0.246901809
beta2_t     0.9777612 0.248448124
beta2_t     1.0815064 0.248601772
beta2_t     1.0175765 0.247147326
beta2_t     0.9393135 0.247280023
beta2_t     0.5844242 0.247276286
beta2_t     0.9395765 0.246532656
beta2_t     0.8938906 0.247757533
beta2_t     1.0883119 0.245184087
beta2_t     0.9167054 0.243340824
beta2_t     0.9651090 0.243990360
beta2_t     0.8908062 0.244335996
beta2_t     0.8622662 0.243658875
beta2_t     0.9596026 0.241583411
beta2_t     1.1359031 0.242264509
beta2_t     1.1354067 0.243434362
beta2_t     1.4912775 0.241662078
beta2_t     1.3508819 0.243747846
beta2_t     1.2383508 0.243205793
beta2_t     1.6606675 0.243720286
logetaE2   -1.0811855 0.022252329
logetaO2   -1.5969120 0.050715154
logkappa2  -3.5786924 0.039243912
logSigmaM  -0.1696159 0.006326242
Maximum gradient component: 0.002530858 
