                      Estimate   Std. Error
Omegainput1_s     5.670703e-01 1.870057e+00
Omegainput1_s    -6.957258e-01 1.783178e+00
Omegainput1_s     2.350771e+00 2.022569e+00
Omegainput1_s    -2.524904e+00 1.676020e+00
Omegainput1_s     2.394296e+00 1.686027e+00
Omegainput1_s     6.369676e+00 2.838745e+00
Omegainput1_s     3.561376e+00 1.925886e+00
Omegainput1_s     6.523649e-01 2.017002e+00
Omegainput1_s    -3.014935e+00 2.058892e+00
Omegainput1_s    -7.576354e+00 2.383312e+00
Omegainput1_s    -3.225814e-01 1.804631e+00
Omegainput1_s     3.223212e+00 2.110394e+00
Omegainput1_s     1.705906e+00 1.656719e+00
Omegainput1_s     3.224031e+00 1.922945e+00
Omegainput1_s    -2.887872e+00 1.817352e+00
Omegainput1_s    -5.146274e+00 2.179176e+00
Omegainput1_s     6.476260e+00 2.430328e+00
Omegainput1_s     6.338183e+00 2.192621e+00
Omegainput1_s    -8.793927e-01 1.905299e+00
Omegainput1_s    -8.862468e-01 1.787925e+00
Omegainput1_s     1.422968e+00 1.830302e+00
Omegainput1_s     4.227213e+00 1.847043e+00
Omegainput1_s    -7.149439e+00 2.783911e+00
Omegainput1_s    -1.778485e+00 1.977182e+00
Omegainput1_s    -6.556550e+00 2.261330e+00
Omegainput1_s    -2.248434e+00 1.728429e+00
Omegainput1_s     5.488489e+00 2.298537e+00
Omegainput1_s     4.149321e+00 2.137674e+00
Omegainput1_s     8.018395e-01 1.673757e+00
Omegainput1_s    -3.220372e+00 2.106529e+00
Omegainput1_s    -8.805794e-01 1.869407e+00
Omegainput1_s     3.240809e+00 2.074018e+00
Omegainput1_s    -4.250283e+00 1.884645e+00
Omegainput1_s     1.450338e+00 2.278623e+00
Omegainput1_s     1.255671e-01 2.302614e+00
Omegainput1_s     1.215450e+00 1.888341e+00
Omegainput1_s    -2.097520e+00 1.806141e+00
Omegainput1_s     3.130669e+00 1.798652e+00
Omegainput1_s    -4.978356e+00 2.853138e+00
Omegainput1_s     3.317567e+00 2.040866e+00
Omegainput1_s    -1.534126e-01 1.898100e+00
Omegainput1_s     3.194632e+00 2.092584e+00
Omegainput1_s    -2.800885e+00 1.801341e+00
Omegainput1_s    -2.195867e+00 2.307701e+00
Omegainput1_s    -8.579483e+00 3.313766e+00
Omegainput1_s    -6.704050e+00 2.298009e+00
Omegainput1_s    -4.083950e+00 1.997330e+00
Omegainput1_s     3.432411e+00 2.120542e+00
Omegainput1_s     1.071517e+00 2.102059e+00
Omegainput1_s     1.193902e+00 1.832223e+00
Omegainput1_s     1.233728e+00 1.874015e+00
