"Year","Unit","Fleet","Estimate..metric.tonnes.","SD..log.","SD..natural."
2003,1,"STRATA",12493.8782974062,0.215473296150186,1920.9536548361
2004,1,"STRATA",18628.8231297896,0.199812790741691,2661.20001615383
2005,1,"STRATA",17038.2489343572,0.0798157416421102,1076.63012276727
2007,1,"STRATA",6830.32723796801,0.116228145705001,589.477731026238
2009,1,"STRATA",11567.6466885909,0.102614737740698,912.39642208746
2011,1,"STRATA",14609.5574999665,0.0976788164005044,1101.56130037281
2013,1,"STRATA",17016.8083238761,0.0902388695196564,1187.64468139788
