                      Estimate   Std. Error
Omegainput1_s     1.075777e+01 3.453492e+00
Omegainput1_s     3.586700e+00 3.445720e+00
Omegainput1_s     9.611500e+00 3.225677e+00
Omegainput1_s     2.700097e+00 3.727364e+00
Omegainput1_s     1.304058e+01 3.410155e+00
Omegainput1_s    -8.553303e+00 6.816780e+00
Omegainput1_s    -7.325510e+00 6.397335e+00
Omegainput1_s    -1.862489e-01 4.099710e+00
Omegainput1_s    -5.844907e+00 5.882528e+00
Omegainput1_s     3.659511e+00 3.361774e+00
Omegainput1_s     3.123298e+00 3.381047e+00
Omegainput1_s     8.462284e+00 3.515207e+00
Omegainput1_s     7.704186e+00 3.304137e+00
Omegainput1_s     2.304783e+00 3.892989e+00
Omegainput1_s    -7.131655e+00 6.362454e+00
Omegainput1_s     1.074704e+01 3.275008e+00
Omegainput1_s     1.061205e+01 3.400033e+00
Omegainput1_s     5.103136e-01 3.410076e+00
Omegainput1_s     1.081821e+01 3.424275e+00
Omegainput1_s    -8.732633e+00 6.552260e+00
Omegainput1_s     3.639011e+00 3.829307e+00
Omegainput1_s     6.745305e+00 3.099943e+00
Omegainput1_s     8.238415e+00 3.304477e+00
Omegainput1_s     7.814596e+00 3.312015e+00
Omegainput1_s     6.929644e+00 3.469633e+00
Omegainput1_s     7.368703e+00 3.225514e+00
Omegainput1_s     8.602593e+00 3.143160e+00
Omegainput1_s    -4.004909e+00 5.050066e+00
Omegainput1_s     6.800362e+00 3.528870e+00
Omegainput1_s    -6.012824e-01 4.206939e+00
Omegainput1_s    -3.533542e+00 5.426686e+00
Omegainput1_s    -1.256985e+00 4.349788e+00
Omegainput1_s     9.332254e+00 3.317474e+00
Omegainput1_s     1.131739e+01 3.393047e+00
Omegainput1_s     8.298765e+00 3.997390e+00
Omegainput1_s    -5.113133e+00 5.179853e+00
Omegainput1_s     4.587438e+00 3.611375e+00
Omegainput1_s     9.484234e+00 3.571081e+00
Omegainput1_s     1.019831e+01 3.720514e+00
Omegainput1_s    -9.441362e+00 6.497907e+00
Omegainput1_s    -8.846551e+00 7.152648e+00
Omegainput1_s     2.247644e+00 3.722898e+00
Omegainput1_s    -9.546862e-01 4.571402e+00
Omegainput1_s    -6.843648e+00 5.094232e+00
Omegainput1_s    -6.034473e+00 5.980083e+00
Omegainput1_s     9.592017e+00 3.354358e+00
Omegainput1_s     8.720641e+00 3.379276e+00
Omegainput1_s    -1.288054e+00 4.508473e+00
Omegainput1_s    -7.954943e+00 8.303523e+00
Omegainput1_s     7.327423e+00 3.117297e+00
Omegainput1_s    -3.369281e-01 3.913249e+00
Omegainput1_s     9.234564e+00 3.611187e+00
Omegainput1_s     1.139756e+01 3.335493e+00
Omegainput1_s     5.440289e+00 4.122799e+00
Omegainput1_s     3.590660e+00 3.215601e+00
Omegainput1_s     1.308330e+01 3.350880e+00
Omegainput1_s     1.188004e+01 3.346947e+00
Omegainput1_s    -7.969621e+00 7.678167e+00
Omegainput1_s     1.040286e+01 3.212893e+00
Omegainput1_s    -8.073641e+00 7.232839e+00
Omegainput1_s    -1.832168e+00 3.562265e+00
Omegainput1_s     1.016352e+01 3.561782e+00
Omegainput1_s     9.103887e+00 3.380235e+00
Omegainput1_s     5.687437e+00 3.596405e+00
Omegainput1_s     9.490292e+00 3.378410e+00
Omegainput1_s     4.199812e+00 3.096607e+00
Omegainput1_s    -5.182269e+00 4.917669e+00
Omegainput1_s    -7.798754e+00 7.483341e+00
Omegainput1_s    -7.569164e+00 8.581954e+00
Omegainput1_s     6.028974e+00 3.327012e+00
Omegainput1_s     5.981613e+00 3.490682e+00
Omegainput1_s     9.509057e+00 3.331819e+00
Omegainput1_s     8.810294e+00 3.538884e+00
Omegainput1_s     1.420879e+01 3.421585e+00
Omegainput1_s     7.676027e-01 5.078520e+00
Omegainput1_s     9.950460e-01 4.072595e+00
Omegainput1_s     1.474855e+01 3.476201e+00
Omegainput1_s     1.442974e+01 3.551972e+00
Omegainput1_s     9.442375e+00 3.350677e+00
Omegainput1_s    -6.300626e+00 5.108587e+00
Omegainput1_s     8.341602e+00 3.409494e+00
Omegainput1_s     8.012025e+00 3.477409e+00
Omegainput1_s    -1.512486e+00 4.558795e+00
Omegainput1_s     6.380397e+00 3.291888e+00
Omegainput1_s     6.340671e+00 3.559530e+00
Omegainput1_s    -1.370827e+00 4.275941e+00
Omegainput1_s     6.025417e+00 3.427697e+00
Omegainput1_s    -6.914919e+00 5.290556e+00
Omegainput1_s    -3.232811e+00 5.866520e+00
Omegainput1_s     6.646498e+00 2.983519e+00
Omegainput1_s    -9.367919e+00 6.361333e+00
Omegainput1_s     5.813092e+00 2.998939e+00
Omegainput1_s    -6.656486e+00 6.958622e+00
Omegainput1_s    -4.689589e+00 5.596282e+00
Omegainput1_s    -6.871675e+00 7.337398e+00
Omegainput1_s     6.533396e+00 3.746543e+00
Omegainput1_s    -8.559058e+00 6.368405e+00
Omegainput1_s     8.105385e+00 3.148212e+00
Omegainput1_s    -7.379282e+00 5.778918e+00
Omegainput1_s     1.328756e+01 3.366393e+00
Omegainput1_s     7.302797e+00 3.374044e+00
Omegainput1_s     5.931288e+00 3.801174e+00
Omegainput1_s     3.545516e+00 3.661899e+00
Omegainput1_s     1.096712e+01 3.295824e+00
Omegainput1_s    -2.758516e+00 4.574465e+00
Omegainput1_s     5.807828e+00 3.376222e+00
Omegainput1_s     5.736854e+00 3.082089e+00
Omegainput1_s     6.176426e+00 3.166439e+00
Omegainput1_s    -4.825976e+00 5.566121e+00
Omegainput1_s     4.122014e+00 3.235236e+00
Omegainput1_s     1.306007e+01 3.396141e+00
Omegainput1_s    -4.782391e+00 4.736075e+00
Omegainput1_s    -2.683574e-01 4.169240e+00
Omegainput1_s     9.588646e+00 3.482000e+00
Omegainput1_s    -8.881809e+00 7.104534e+00
Omegainput1_s    -7.968919e+00 6.165155e+00
Omegainput1_s    -5.275074e+00 4.969461e+00
Omegainput1_s    -4.032002e+00 4.672038e+00
Omegainput1_s    -5.709338e+00 4.690999e+00
Omegainput1_s     3.789722e+00 3.347697e+00
Omegainput1_s     7.376211e+00 3.164757e+00
