"Year","Unit","Fleet","Estimate","SD"
2003,1,"Coastwide",2783.83550287057,0.271426387767636
2004,1,"Coastwide",5504.76403316908,0.354092678359724
2005,1,"Coastwide",3786.66583755881,0.307094842330526
2006,1,"Coastwide",12719.2540540586,0.401742582458799
2007,1,"Coastwide",3715.21807100055,0.330377480666281
2008,1,"Coastwide",6100.18140344652,0.386075288013896
2009,1,"Coastwide",2116.87935071228,0.390275326375597
2010,1,"Coastwide",5487.98377581572,0.356575508642975
2011,1,"Coastwide",5571.92115332714,0.381572402562651
2012,1,"Coastwide",6047.63396651353,0.341695705571394
2013,1,"Coastwide",3433.62307924501,0.381853771262034
2014,1,"Coastwide",9848.4962226176,0.25036922539138
2003,1,"CA",441.756263444513,0.361190412461481
2004,1,"CA",881.591992176653,0.41326368973934
2005,1,"CA",1120.73403704454,0.374995745693164
2006,1,"CA",1180.91542143694,0.3860055501487
2007,1,"CA",751.909416842212,0.372603343607754
2008,1,"CA",729.011567527318,0.433004565970999
2009,1,"CA",388.310070370502,0.42467605528647
2010,1,"CA",646.068023304701,0.378010831213822
2011,1,"CA",587.146991107358,0.450012581793941
2012,1,"CA",577.252321411964,0.397555725755012
2013,1,"CA",587.61461952948,0.403423029585371
2014,1,"CA",1468.05500988794,0.352929289603066
2003,1,"OR",695.210187202832,0.340687402925886
2004,1,"OR",1128.04486081939,0.430510893718275
2005,1,"OR",741.636689086936,0.344018912039551
2006,1,"OR",1029.78681573005,0.441838007616182
2007,1,"OR",574.346348436845,0.343781166783995
2008,1,"OR",1528.15706546218,0.413796332355247
2009,1,"OR",462.331391787087,0.445052306369243
2010,1,"OR",845.090484826505,0.362611914706676
2011,1,"OR",810.536958466139,0.354291977307141
2012,1,"OR",985.117757999548,0.334119645546857
2013,1,"OR",770.454581034709,0.388917227593687
2014,1,"OR",2921.45367647963,0.304377299762979
2003,1,"WA",1646.86905222322,0.316692658373379
2004,1,"WA",3495.12718017303,0.415315153135354
2005,1,"WA",1924.29511142733,0.417534771497049
2006,1,"WA",10508.5518168917,0.453262987899104
2007,1,"WA",2388.96230572149,0.417715651682402
2008,1,"WA",3843.01277045703,0.496174010906144
2009,1,"WA",1266.23788855469,0.466078622263274
2010,1,"WA",3996.82526768451,0.431432958094703
2011,1,"WA",4174.23720375365,0.456015968840207
2012,1,"WA",4485.26388710201,0.404119977833194
2013,1,"WA",2075.55387868082,0.487561485608466
2014,1,"WA",5458.98753625003,0.316903048828565
