                      Estimate   Std. Error
ln_H_input        2.659786e-01 4.710664e-02
ln_H_input       -8.675785e-01 7.402688e-02
beta1_t           4.381398e+00 7.899049e-01
beta1_t           4.559023e+00 7.916287e-01
beta1_t           4.552534e+00 7.815667e-01
beta1_t           5.597987e+00 8.646070e-01
beta1_t           5.865304e+00 8.866354e-01
beta1_t           4.261063e+00 7.696865e-01
beta1_t           5.408354e+00 8.352811e-01
beta1_t           4.480872e+00 7.733481e-01
beta1_t           4.557988e+00 7.762152e-01
beta1_t           6.547073e+00 9.557486e-01
beta1_t           4.795361e+00 7.936365e-01
beta1_t           5.705140e+00 8.582346e-01
beta1_t           6.071530e+00 8.941038e-01
beta1_t           5.224362e+00 8.133416e-01
beta1_t           5.396437e+00 8.272422e-01
beta1_t           5.103601e+00 8.066060e-01
beta1_t           5.318724e+00 8.269281e-01
beta1_t           6.725512e+00 9.905670e-01
beta1_t           5.450785e+00 8.418852e-01
beta1_t           6.152338e+00 9.077439e-01
beta1_t           5.064370e+00 8.037093e-01
beta1_t           4.850613e+00 7.945181e-01
beta1_t           5.937247e+00 8.803483e-01
beta1_t           5.027276e+00 8.036275e-01
beta1_t           4.849968e+00 7.921557e-01
beta1_t           4.432693e+00 7.670326e-01
beta1_t           2.854207e+00 7.124863e-01
beta1_t           3.504652e+00 7.291357e-01
beta1_t           2.982695e+00 7.190886e-01
beta1_t           4.901064e+00 7.896728e-01
beta1_t           5.038765e+00 7.977802e-01
beta1_t           5.611186e+00 8.472498e-01
beta1_t           6.778962e+00 9.912998e-01
logetaE1         -1.532002e+00 1.140163e-01
logetaO1         -2.097704e+00 1.021818e-01
logkappa1        -4.139252e+00 1.183175e-01
beta2_t           7.088231e+00 6.357306e-01
beta2_t           8.104534e+00 6.337047e-01
beta2_t           7.529109e+00 6.330721e-01
beta2_t           8.178969e+00 6.289010e-01
beta2_t           7.697575e+00 6.317143e-01
beta2_t           7.930020e+00 6.331307e-01
beta2_t           7.866065e+00 6.277109e-01
beta2_t           7.890604e+00 6.279314e-01
beta2_t           7.685371e+00 6.291375e-01
beta2_t           7.802571e+00 6.273339e-01
beta2_t           7.644795e+00 6.319035e-01
beta2_t           7.762302e+00 6.289588e-01
beta2_t           7.597052e+00 6.293198e-01
beta2_t           7.047348e+00 6.289124e-01
beta2_t           7.170098e+00 6.296704e-01
beta2_t           7.292694e+00 6.309813e-01
beta2_t           7.279343e+00 6.291701e-01
beta2_t           7.091233e+00 6.277319e-01
beta2_t           7.765850e+00 6.297214e-01
beta2_t           7.866109e+00 6.286396e-01
beta2_t           7.390098e+00 6.298851e-01
beta2_t           8.052280e+00 6.304009e-01
beta2_t           7.523397e+00 6.288027e-01
beta2_t           7.403682e+00 6.305259e-01
beta2_t           6.558438e+00 6.281880e-01
beta2_t           6.529977e+00 6.298925e-01
beta2_t           5.981969e+00 6.339176e-01
beta2_t           5.587416e+00 6.312840e-01
beta2_t           6.544208e+00 6.351471e-01
beta2_t           7.071103e+00 6.295751e-01
beta2_t           6.735205e+00 6.302535e-01
beta2_t           7.051447e+00 6.285764e-01
beta2_t           8.137060e+00 6.279258e-01
logetaE2         -1.567357e+00 2.818985e-02
logetaO2         -1.598250e+00 6.186175e-02
logkappa2        -4.427010e+00 4.392473e-02
logSigmaM         5.846824e-02 7.532750e-03
Omegainput1_s    -1.274212e+01 7.223765e+00
Omegainput1_s    -7.982951e+00 7.237729e+00
Omegainput1_s     1.828232e+01 1.306534e+01
Omegainput1_s    -1.806628e+01 6.557944e+00
Omegainput1_s     1.827716e+00 8.644320e+00
Omegainput1_s     7.569682e+00 9.686236e+00
Omegainput1_s    -2.196570e+01 6.245309e+00
Omegainput1_s     8.892153e+00 1.017927e+01
Omegainput1_s     1.801079e+00 8.784459e+00
Omegainput1_s     9.023518e+00 1.047277e+01
Omegainput1_s    -3.566291e-01 9.251972e+00
Omegainput1_s    -1.733748e+01 6.655963e+00
Omegainput1_s     9.792861e+00 1.017908e+01
Omegainput1_s     1.846669e+01 1.371679e+01
Omegainput1_s     2.160689e+01 1.344306e+01
Omegainput1_s     1.301089e+01 1.105523e+01
Omegainput1_s    -6.275168e+00 7.595869e+00
Omegainput1_s    -6.229922e+00 7.399806e+00
Omegainput1_s    -3.937226e+00 7.734129e+00
Omegainput1_s    -9.706198e+00 7.493341e+00
Omegainput1_s     2.087540e+01 1.215012e+01
Omegainput1_s     1.775853e+01 1.225510e+01
Omegainput1_s     2.134009e+00 9.470997e+00
Omegainput1_s    -8.272241e+00 7.387486e+00
Omegainput1_s     2.170045e+01 1.356275e+01
Omegainput1_s     1.845731e+00 8.558581e+00
Omegainput1_s    -1.250310e+01 7.504885e+00
Omegainput1_s    -1.396093e+01 6.624692e+00
Omegainput1_s     1.504405e+01 1.218893e+01
Omegainput1_s    -9.012579e+00 7.352718e+00
Omegainput1_s    -1.507420e+00 7.718717e+00
Omegainput1_s     1.699170e+01 1.296886e+01
Omegainput1_s    -2.671200e+01 5.916508e+00
Omegainput1_s     8.528203e+00 9.978191e+00
Omegainput1_s     1.489349e+01 1.127484e+01
Omegainput1_s     1.707368e+01 1.221246e+01
Omegainput1_s    -6.671152e+00 7.716111e+00
Omegainput1_s     5.942922e-01 8.233076e+00
Omegainput1_s    -2.147306e+01 8.110619e+00
Omegainput1_s    -1.685806e+01 7.244456e+00
Omegainput1_s    -1.162548e+01 6.396596e+00
Omegainput1_s     3.260262e+00 8.599332e+00
Omegainput1_s    -1.608459e+01 6.523198e+00
Omegainput1_s    -4.790210e-01 8.247992e+00
