"FID_1,N,9,0","Id,N,6,0","FID_2,N,9,0","AREA,N,13,11","PERIMETER,N,13,11","AREA_KM2,N,19,11","PERIMETER_,N,19,11","STRATUM,N,14,0","STATION,C,8","LONGITUDE,N,19,11","LATITUDE,N,19,11"
118874,0,6435,22613900,18774.7,22.613956,18.7746621094,150,405-125,-136.525989532,57.6694821213
117921,0,6436,25260500,20130.8,25.260612,20.1308300781,132,213-151,-152.421066973,58.8440496063
118621,0,6436,25260500,20130.8,25.260612,20.1308300781,132,213-151,-152.419535042,58.8771767831
117976,0,6437,25276000,20134.5,25.276016,20.1344726563,230,256-149,-148.88910629,58.7522584915
117977,0,6437,25276000,20134.5,25.276016,20.1344726563,230,256-149,-148.825095762,58.7496947779
118676,0,6437,25276000,20134.5,25.276016,20.1344726563,230,256-149,-148.884165258,58.7852986916
118677,0,6437,25276000,20134.5,25.276016,20.1344726563,230,256-149,-148.820093346,58.7827325565
118865,0,6438,10978500,14531.5,10.978545,14.5315185547,540,399-127,-137.068048014,57.7459394158
118866,0,6438,10978500,14531.5,10.978545,14.5315185547,540,399-127,-137.007703863,57.7375608059
117920,0,6440,25107300,20072.9,25.107416,20.0729394531,132,212-151,-152.485427989,58.8448213137
118620,0,6440,25107300,20072.9,25.107416,20.0729394531,132,212-151,-152.483958458,58.8779492241
118872,0,6442,3153250,7554.26,3.15319375,7.5542358398,351,404-126,-136.646243874,57.686676478
117919,0,6443,25102700,20071.2,25.10275,20.0711777344,132,211-151,-152.54979185,58.8455609145
118619,0,6443,25102700,20071.2,25.10275,20.0711777344,132,211-151,-152.548384728,58.8786895279
117955,0,6444,25270500,20133.5,25.270512,20.1335507813,131,239-150,-150.235344933,58.7987284915
118654,0,6444,25270500,20133.5,25.270512,20.1335507813,131,239-150,-150.295953447,58.8336759101
118655,0,6444,25270500,20133.5,25.270512,20.1335507813,131,239-150,-150.2316988,58.8318126559
117917,0,6447,25107500,20073,25.10739,20.0729296875,132,210-151,-152.678527626,58.846943788
117918,0,6447,25107500,20073,25.10739,20.0729296875,132,210-151,-152.614158436,58.8462684066
118617,0,6447,25107500,20073,25.10739,20.0729296875,132,210-151,-152.677245346,58.8800737161
118618,0,6447,25107500,20073,25.10739,20.0729296875,132,210-151,-152.612813731,58.8793976926
117916,0,6448,25107400,20073,25.107374,20.0729238281,132,209-151,-152.742899299,58.8475870569
118616,0,6448,25107400,20073,25.107374,20.0729238281,132,209-151,-152.741679451,58.8807175966
117975,0,6449,25122700,20076.4,25.122792,20.0764453125,230,255-149,-148.953126335,58.7547903525
118675,0,6449,25122700,20076.4,25.122792,20.0764453125,230,255-149,-148.948246714,58.7878329443
117915,0,6451,25256100,20129.1,25.256012,20.1290917969,132,208-151,-152.807273335,58.8481982115
118615,0,6451,25256100,20129.1,25.256012,20.1290917969,132,208-151,-152.806115926,58.8813293323
117953,0,6452,25117200,20075.6,25.117176,20.0755488281,131,238-150,-150.363737328,58.8024194869
117954,0,6452,25117200,20075.6,25.117176,20.0755488281,131,238-150,-150.299537669,58.8005899817
118653,0,6452,25117200,20075.6,25.117176,20.0755488281,131,238-150,-150.360215038,58.8355071492
117913,0,6453,25107400,20072.9,25.107382,20.0729277344,132,207-151,-152.936028011,58.8493241712
117914,0,6453,25107400,20072.9,25.107382,20.0729277344,132,207-151,-152.871649612,58.8487772502
118613,0,6453,25107400,20072.9,25.107382,20.0729277344,132,207-151,-152.934995498,58.8824563625
118614,0,6453,25107400,20072.9,25.107382,20.0729277344,132,207-151,-152.870554649,58.8819089215
117912,0,6454,25107300,20072.9,25.107388,20.0729277344,132,206-151,-153.000408409,58.8498389732
118612,0,6454,25107300,20072.9,25.107388,20.0729277344,132,206-151,-152.999438354,58.882971654
117911,0,6455,25255900,20129.1,25.255986,20.1290820313,132,205-151,-153.064790686,58.8503216546
118611,0,6455,25255900,20129.1,25.255986,20.1290820313,132,205-151,-153.063883094,58.8834547945
118884,0,6456,6868010,21362.7,6.867985,21.3626953125,50,412-123,-135.926487953,57.5817708132
117952,0,6457,25112500,20073.8,25.112484,20.0737734375,131,237-150,-150.42794379,58.8042170022
118652,0,6457,25112500,20073.8,25.112484,20.0737734375,131,237-150,-150.424483451,58.8373063683
117974,0,6458,25118100,20074.7,25.118114,20.0746738281,230,254-149,-149.01715578,58.7572903538
118674,0,6458,25118100,20074.7,25.118114,20.0746738281,230,254-149,-149.012337597,58.7903353077
117910,0,6460,25107300,20072.9,25.107386,20.0729277344,132,204-151,-153.129174721,58.8507722142
118610,0,6460,25107300,20072.9,25.107386,20.0729277344,132,204-151,-153.128329597,58.8839057825
117991,0,6462,24258900,19260.4,24.259094,19.2605078125,530,267-148,-147.930012783,58.7104623195
118691,0,6462,24258900,19260.4,24.259094,19.2605078125,530,267-148,-147.924154069,58.7434630963
117909,0,6463,7896120,14316.6,7.8961445,14.3166679688,132,203-151,-153.193560394,58.8511906507
118609,0,6463,7896120,14316.6,7.8961445,14.3166679688,132,203-151,-153.192777742,58.8843246169
118863,0,6464,3264180,11307.6,3.2641425,11.3076132812,540,397-127,-137.188822019,57.7626089315
118608,0,6465,12730000,14442,12.730073,14.4420800781,32,203-151,-153.257227408,58.8847112966
118607,0,6466,4852390,10719.5,4.852382,10.7194404297,32,202-151,-153.321678472,58.8850658203
117951,0,6467,25270500,20133.6,25.270402,20.1335097656,131,236-150,-150.492156937,58.8059825226
118651,0,6467,25270500,20133.6,25.270402,20.1335097656,131,236-150,-150.488758569,58.8390735625
118178,0,6468,25253400,20103.5,25.253414,20.1035117187,50,408-124,-136.30220761,57.6027494142
117973,0,6469,18052500,17939.2,18.05239,17.9392070313,230,253-149,-149.081194506,58.7597584888
118673,0,6469,18052500,17939.2,18.05239,17.9392070313,230,253-149,-149.076437789,58.7928057749
117949,0,6470,25117300,20075.6,25.117238,20.0755742187,131,235-150,-150.62060281,58.8094175595
117950,0,6470,25117300,20075.6,25.117238,20.0755742187,131,235-150,-150.55637665,58.8077160433
118650,0,6470,25117300,20075.6,25.117238,20.0755742187,131,235-150,-150.553040272,58.8408087267
