                      Estimate   Std. Error
ln_H_input        2.262011e-01 7.014947e-02
ln_H_input        2.341623e-01 6.770241e-02
beta1_t           3.536598e-01 3.494315e-01
beta1_t           6.677456e-01 3.520825e-01
beta1_t           1.220078e+00 3.576396e-01
beta1_t           1.649161e+00 3.602676e-01
beta1_t           1.738862e+00 3.564163e-01
beta1_t           1.145028e+00 3.526787e-01
beta1_t           5.819231e-01 3.772791e-01
beta1_t           6.001476e-01 3.507088e-01
beta1_t           5.235156e-01 3.496581e-01
beta1_t           8.352656e-01 3.506403e-01
beta1_t           8.530877e-01 3.514935e-01
beta1_t           1.165182e+00 3.576975e-01
beta1_t           1.484881e+00 3.645315e-01
logetaE1         -1.117256e+00 7.307347e-02
logetaO1         -2.079158e+00 9.095276e-02
logkappa1        -3.888536e+00 1.051287e-01
beta2_t           6.469008e+00 2.297155e-01
beta2_t           6.651732e+00 2.305367e-01
beta2_t           6.881798e+00 2.285442e-01
beta2_t           6.576369e+00 2.180233e-01
beta2_t           6.788008e+00 2.099741e-01
beta2_t           6.091398e+00 2.212863e-01
beta2_t           5.744420e+00 2.681863e-01
beta2_t           6.228756e+00 2.250157e-01
beta2_t           6.490225e+00 2.223250e-01
beta2_t           6.188420e+00 2.186046e-01
beta2_t           6.898608e+00 2.252635e-01
beta2_t           7.161156e+00 2.236646e-01
beta2_t           7.290575e+00 2.295037e-01
logetaE2         -1.630696e+00 3.392337e-02
logetaO2         -1.671326e+00 6.062343e-02
logkappa2        -3.383526e+00 6.639838e-02
logSigmaM         3.622201e-01 8.816359e-03
Omegainput1_s     9.323368e-01 3.170997e+00
Omegainput1_s    -2.978198e+00 2.808033e+00
Omegainput1_s     1.216835e+01 3.740959e+00
Omegainput1_s     3.094236e+00 3.749166e+00
Omegainput1_s     7.247957e+00 3.918288e+00
Omegainput1_s    -1.272165e+00 3.892645e+00
Omegainput1_s     5.836385e+00 4.045081e+00
Omegainput1_s     6.657068e+00 4.095765e+00
Omegainput1_s    -7.434304e+00 2.750016e+00
Omegainput1_s     1.661246e+00 3.788119e+00
Omegainput1_s     1.065125e+01 5.033679e+00
Omegainput1_s     2.118574e+00 3.144612e+00
Omegainput1_s     6.736845e+00 4.150000e+00
Omegainput1_s     4.178743e+00 3.908002e+00
Omegainput1_s    -7.439450e+00 3.107564e+00
Omegainput1_s    -8.558654e+00 2.996977e+00
Omegainput1_s    -4.081168e+00 2.974451e+00
Omegainput1_s    -8.029795e+00 3.465103e+00
Omegainput1_s    -9.728854e+00 3.737161e+00
Omegainput1_s     2.986355e+00 3.910101e+00
Omegainput1_s     8.214093e+00 4.735788e+00
Omegainput1_s     1.499429e+01 5.559392e+00
Omegainput1_s    -2.039259e+00 3.632907e+00
Omegainput1_s     1.339674e+01 4.807093e+00
Omegainput1_s    -3.764643e+00 3.417829e+00
Omegainput1_s     4.742396e+00 2.867898e+00
