"Year","Unit","Fleet","Estimate..metric.tonnes.","SD..log.","SD..natural."
1991,1,"All_areas",526282.258001544,0.198270385652399,76681.2958614983
1992,1,"All_areas",105876.873638281,0.499219025129582,24615.2473810651
1993,1,"All_areas",44730.0724721393,0.503673815953517,10385.9718951248
1994,1,"All_areas",577239.877661069,0.196346721429829,83159.1221270271
1995,1,"All_areas",105876.873638281,0.499219025129582,24615.2473810651
1996,1,"All_areas",97352.7293620692,0.501295352893432,22620.2581219581
1997,1,"All_areas",849804.361507431,0.175865574870751,110189.142997761
1998,1,"All_areas",105876.873638281,0.499219025129582,24615.2473810651
1999,1,"All_areas",93379.4098212908,0.499690912704876,21706.8790094491
2000,1,"All_areas",792972.989550635,0.165657159699454,97167.2375655935
2001,1,"All_areas",78933.3928848584,0.499677008051562,18348.8442130979
2002,1,"All_areas",684218.671923197,0.161541925739998,81975.5940135088
2003,1,"All_areas",92463.0560736097,0.498804945305203,21499.1264162222
2004,1,"All_areas",1152409.89954184,0.16522732031905,140074.480901724
2005,1,"All_areas",111511.398952606,0.498558998843992,25929.9119799372
2006,1,"All_areas",1306769.35563775,0.16945447827491,161831.806914132
2007,1,"All_areas",105876.873638281,0.499219025129582,24615.2473810651
2008,1,"All_areas",105876.873638281,0.499219025129582,24615.2473810651
2009,1,"All_areas",147648.748018384,0.499791526892474,34321.3094463025
2010,1,"All_areas",1452774.03782568,0.165269970942696,176002.508147527
2011,1,"All_areas",165999.949454184,0.495629221762159,38630.2413968442
2012,1,"All_areas",1628940.17575016,0.153950054332171,183295.312922821
2013,1,"All_areas",205030.949365133,0.494692049235308,47724.6626820439
2014,1,"All_areas",1802909.9024396,0.139024400016635,185408.160653752
